"id","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,672.11,676.36,680.25,684.62,689.21,693.9,698.62,703.31,707.92,712.35,716.36,721.9,727.28,732.18,737,741.81,746.61,751.41,756.2,760.94,765.46,770.47,775.39,780.2,785,789.8,794.6,799.4,804.2,808.98,813.52,818.6,823.4,828.2,833,837.8,842.6,847.4,852.2,857,861.8,866.86,672.11,676.36,680.25,684.62,689.21,693.9,698.62,703.31,707.92,712.35,716.36,721.9,727.28,732.18,737,741.81,746.61,751.41,756.2,760.94,765.46,770.47,775.39,780.2,785,789.8,794.6,799.4,804.2,808.98,813.52,818.6,823.4,828.2,833,837.8,842.6,847.4,852.2,857,861.8,866.86,2.30999999999995,1.75999999999999,0.849999999999909,0.419999999999959,0.210000000000036,0.0999999999999091,0.0199999999999818,-0.0900000000001455,-0.280000000000086,-0.650000000000091,-1.44000000000005,-0.700000000000159,-0.120000000000005,-0.0200000000000955,0,0.00999999999987722,0.00999999999999091,0.00999999999999091,0,-0.0599999999999454,-0.340000000000032,-0.129999999999995,-0.0100000000001046,0,0,-1.13686837721616e-13,0,-1.13686837721616e-13,1.13686837721616e-13,-0.0199999999999818,-0.279999999999973,0,0,0,0,0,0,0,0,0,-1.13686837721616e-13,0.259999999999991,34.6499999999992,26.3999999999999,12.7499999999986,6.29999999999939,3.15000000000055,1.49999999999864,0.299999999999727,-1.35000000000218,-4.2000000000013,-9.75000000000136,-21.6000000000008,-10.5000000000024,-1.80000000000007,-0.300000000001432,0,0.149999999998158,0.149999999999864,0.149999999999864,0,-0.899999999999181,-5.10000000000048,-1.94999999999993,-0.150000000001569,0,0,-1.70530256582424e-12,0,-1.70530256582424e-12,1.70530256582424e-12,-0.299999999999727,-4.19999999999959,0,0,0,0,0,0,0,0,0,-1.70530256582424e-12,3.89999999999986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,674.14,677.87,681.26,685.23,689.56,694.06,698.62,703.15,707.56,711.73,715.52,721.25,727.08,732.13,737,741.81,746.62,751.41,756.18,760.85,765.2,770.34,775.38,780.2,785,789.8,794.6,799.4,804.2,808.95,813.26,818.6,823.4,828.2,833,837.8,842.6,847.4,852.2,857,861.8,866.92,674.14,677.87,681.26,685.23,689.56,694.06,698.62,703.15,707.56,711.73,715.52,721.25,727.08,732.13,737,741.81,746.62,751.41,756.18,760.85,765.2,770.34,775.38,780.2,785,789.8,794.6,799.4,804.2,808.95,813.26,818.6,823.4,828.2,833,837.8,842.6,847.4,852.2,857,861.8,866.92,2.02999999999997,1.50999999999999,1.00999999999999,0.610000000000014,0.349999999999909,0.159999999999968,0,-0.159999999999968,-0.360000000000014,-0.620000000000005,-0.840000000000032,-0.649999999999977,-0.199999999999932,-0.0499999999999545,0,0,0.00999999999999091,0,-0.0200000000000955,-0.0900000000000318,-0.259999999999991,-0.129999999999995,-0.00999999999999091,0,0,0,0,0,0,-0.0299999999999727,-0.259999999999991,0,0,0,0,0,0,0,0,0,0,0.0599999999999454,30.4499999999996,22.6499999999999,15.1499999999999,9.1500000000002,5.24999999999864,2.39999999999952,0,-2.39999999999952,-5.4000000000002,-9.30000000000007,-12.6000000000005,-9.74999999999966,-2.99999999999898,-0.749999999999318,0,0,0.149999999999864,0,-0.300000000001432,-1.35000000000048,-3.89999999999986,-1.94999999999993,-0.149999999999864,0,0,0,0,0,0,-0.449999999999591,-3.89999999999986,0,0,0,0,0,0,0,0,0,0,0.899999999999181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,675.95,679.26,682.29,685.94,689.99,694.26,698.63,702.99,707.21,711.22,714.9,720.68,726.83,732.05,736.98,741.81,746.62,751.41,756.15,760.75,764.98,770.21,775.36,780.2,785,789.8,794.6,799.4,804.2,808.91,813.02,818.6,823.4,828.2,833,837.8,842.6,847.4,852.2,857,861.8,866.93,675.95,679.26,682.29,685.94,689.99,694.26,698.63,702.99,707.21,711.22,714.9,720.68,726.83,732.05,736.98,741.81,746.62,751.41,756.15,760.75,764.98,770.21,775.36,780.2,785,789.8,794.6,799.4,804.2,808.91,813.02,818.6,823.4,828.2,833,837.8,842.6,847.4,852.2,857,861.8,866.93,1.81000000000006,1.38999999999999,1.02999999999997,0.710000000000036,0.430000000000064,0.200000000000045,0.00999999999999091,-0.159999999999968,-0.349999999999909,-0.509999999999991,-0.620000000000005,-0.57000000000005,-0.25,-0.0800000000000409,-0.0199999999999818,0,0,0,-0.0299999999999727,-0.100000000000023,-0.220000000000027,-0.129999999999995,-0.0199999999999818,0,0,0,0,0,0,-0.0400000000000773,-0.240000000000009,0,0,0,0,0,0,0,0,0,0,0.00999999999999091,27.1500000000009,20.8499999999998,15.4499999999996,10.6500000000005,6.45000000000095,3.00000000000068,0.149999999999864,-2.39999999999952,-5.24999999999864,-7.64999999999986,-9.30000000000007,-8.55000000000075,-3.75,-1.20000000000061,-0.299999999999727,0,0,0,-0.449999999999591,-1.50000000000034,-3.30000000000041,-1.94999999999993,-0.299999999999727,0,0,0,0,0,0,-0.60000000000116,-3.60000000000014,0,0,0,0,0,0,0,0,0,0,0.149999999999864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,677.58,680.56,683.31,686.68,690.46,694.51,698.68,702.85,706.92,710.79,714.4,720.18,726.56,731.95,736.95,741.81,746.62,751.4,756.11,760.64,764.8,770.08,775.33,780.2,785,789.8,794.6,799.4,804.19,808.86,812.79,818.6,823.4,828.2,833,837.8,842.6,847.4,852.2,857,861.8,866.94,677.58,680.56,683.31,686.68,690.46,694.51,698.68,702.85,706.92,710.79,714.4,720.18,726.56,731.95,736.95,741.81,746.62,751.4,756.11,760.64,764.8,770.08,775.33,780.2,785,789.8,794.6,799.4,804.19,808.86,812.79,818.6,823.4,828.2,833,837.8,842.6,847.4,852.2,857,861.8,866.94,1.63,1.29999999999995,1.01999999999998,0.739999999999895,0.470000000000027,0.25,0.0499999999999545,-0.139999999999986,-0.290000000000077,-0.430000000000064,-0.5,-0.5,-0.270000000000095,-0.0999999999999091,-0.0299999999999727,0,0,-0.00999999999999091,-0.0399999999999636,-0.110000000000014,-0.180000000000064,-0.129999999999995,-0.0299999999999727,0,0,0,0,0,-0.00999999999999091,-0.0499999999999545,-0.230000000000018,0,0,0,0,0,0,0,0,0,0,0.0100000000001046,24.4499999999999,19.4999999999993,15.2999999999997,11.0999999999984,7.05000000000041,3.75,0.749999999999318,-2.0999999999998,-4.35000000000116,-6.45000000000095,-7.5,-7.5,-4.05000000000143,-1.49999999999864,-0.449999999999591,0,0,-0.149999999999864,-0.599999999999454,-1.6500000000002,-2.70000000000095,-1.94999999999993,-0.449999999999591,0,0,0,0,0,-0.149999999999864,-0.749999999999318,-3.45000000000027,0,0,0,0,0,0,0,0,0,0,0.150000000001569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,679.07,681.77,684.3,687.42,690.97,694.79,698.76,702.76,706.68,710.44,713.99,719.73,726.29,731.83,736.91,741.8,746.61,751.38,756.06,760.54,764.64,769.95,775.3,780.2,785,789.8,794.6,799.4,804.18,808.8,812.58,818.6,823.4,828.2,833,837.8,842.6,847.4,852.2,857,861.8,866.94,679.07,681.77,684.3,687.42,690.97,694.79,698.76,702.76,706.68,710.44,713.99,719.73,726.29,731.83,736.91,741.8,746.61,751.38,756.06,760.54,764.64,769.95,775.3,780.2,785,789.8,794.6,799.4,804.18,808.8,812.58,818.6,823.4,828.2,833,837.8,842.6,847.4,852.2,857,861.8,866.94,1.49000000000001,1.21000000000004,0.990000000000009,0.740000000000009,0.509999999999991,0.279999999999973,0.0800000000000409,-0.0900000000000318,-0.240000000000009,-0.349999999999909,-0.409999999999968,-0.449999999999932,-0.269999999999982,-0.120000000000005,-0.0400000000000773,-0.00999999999999091,-0.00999999999999091,-0.0199999999999818,-0.0500000000000682,-0.100000000000023,-0.159999999999968,-0.129999999999995,-0.0300000000000864,0,0,0,0,0,-0.0100000000001046,-0.0600000000000591,-0.209999999999923,0,0,0,0,0,0,0,0,0,0,0,22.3500000000001,18.1500000000005,14.8500000000001,11.1000000000001,7.64999999999986,4.19999999999959,1.20000000000061,-1.35000000000048,-3.60000000000014,-5.24999999999864,-6.14999999999952,-6.74999999999898,-4.04999999999973,-1.80000000000007,-0.60000000000116,-0.149999999999864,-0.149999999999864,-0.299999999999727,-0.750000000001023,-1.50000000000034,-2.39999999999952,-1.94999999999993,-0.450000000001296,0,0,0,0,0,-0.150000000001569,-0.900000000000887,-3.14999999999884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,680.43,682.91,685.25,688.16,691.48,695.1,698.88,702.71,706.5,710.16,713.64,719.34,726.02,731.69,736.85,741.78,746.6,751.36,756,760.44,764.5,769.83,775.26,780.19,785,789.8,794.6,799.4,804.17,808.73,812.38,818.59,823.4,828.2,833,837.8,842.6,847.4,852.2,857,861.8,866.94,680.43,682.91,685.25,688.16,691.48,695.1,698.88,702.71,706.5,710.16,713.64,719.34,726.02,731.69,736.85,741.78,746.6,751.36,756,760.44,764.5,769.83,775.26,780.19,785,789.8,794.6,799.4,804.17,808.73,812.38,818.59,823.4,828.2,833,837.8,842.6,847.4,852.2,857,861.8,866.94,1.3599999999999,1.13999999999999,0.950000000000045,0.740000000000009,0.509999999999991,0.310000000000059,0.120000000000005,-0.0499999999999545,-0.17999999999995,-0.280000000000086,-0.350000000000023,-0.389999999999986,-0.269999999999982,-0.139999999999986,-0.0599999999999454,-0.0199999999999818,-0.00999999999999091,-0.0199999999999818,-0.0599999999999454,-0.0999999999999091,-0.139999999999986,-0.120000000000005,-0.0399999999999636,-0.00999999999999091,0,0,0,0,-0.00999999999999091,-0.0699999999999363,-0.200000000000045,-0.00999999999999091,0,0,0,0,0,0,0,0,0,0,20.3999999999985,17.0999999999998,14.2500000000007,11.1000000000001,7.64999999999986,4.65000000000089,1.80000000000007,-0.749999999999318,-2.69999999999925,-4.2000000000013,-5.25000000000034,-5.8499999999998,-4.04999999999973,-2.0999999999998,-0.899999999999181,-0.299999999999727,-0.149999999999864,-0.299999999999727,-0.899999999999181,-1.49999999999864,-2.0999999999998,-1.80000000000007,-0.599999999999454,-0.149999999999864,0,0,0,0,-0.149999999999864,-1.04999999999905,-3.00000000000068,-0.149999999999864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,681.69,683.99,686.16,688.88,692,695.43,699.03,702.71,706.37,709.93,713.35,718.99,725.76,731.55,736.78,741.75,746.58,751.33,755.94,760.34,764.37,769.71,775.22,780.18,785,789.8,794.6,799.4,804.15,808.66,812.19,818.58,823.4,828.2,833,837.8,842.6,847.4,852.2,857,861.8,866.94,681.69,683.99,686.16,688.88,692,695.43,699.03,702.71,706.37,709.93,713.35,718.99,725.76,731.55,736.78,741.75,746.58,751.33,755.94,760.34,764.37,769.71,775.22,780.18,785,789.8,794.6,799.4,804.15,808.66,812.19,818.58,823.4,828.2,833,837.8,842.6,847.4,852.2,857,861.8,866.94,1.2600000000001,1.08000000000004,0.909999999999968,0.720000000000027,0.519999999999982,0.329999999999927,0.149999999999977,0,-0.129999999999995,-0.230000000000018,-0.289999999999964,-0.350000000000023,-0.259999999999991,-0.1400000000001,-0.07000000000005,-0.0299999999999727,-0.0199999999999818,-0.0299999999999727,-0.0599999999999454,-0.100000000000023,-0.129999999999995,-0.120000000000005,-0.0399999999999636,-0.0100000000001046,0,0,0,0,-0.0199999999999818,-0.07000000000005,-0.189999999999941,-0.00999999999999091,0,0,0,0,0,0,0,0,0,0,18.9000000000016,16.2000000000006,13.6499999999995,10.8000000000004,7.79999999999973,4.94999999999891,2.24999999999966,0,-1.94999999999993,-3.45000000000027,-4.34999999999945,-5.25000000000034,-3.89999999999986,-2.1000000000015,-1.05000000000075,-0.449999999999591,-0.299999999999727,-0.449999999999591,-0.899999999999181,-1.50000000000034,-1.94999999999993,-1.80000000000007,-0.599999999999454,-0.150000000001569,0,0,0,0,-0.299999999999727,-1.05000000000075,-2.84999999999911,-0.149999999999864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,682.87,685,687.03,689.58,692.53,695.78,699.22,702.75,706.28,709.75,713.11,718.69,725.51,731.4,736.7,741.71,746.56,751.29,755.88,760.24,764.25,769.6,775.18,780.17,785,789.8,794.6,799.4,804.13,808.58,812.02,818.57,823.4,828.2,833,837.8,842.6,847.4,852.2,857,861.8,866.94,682.87,685,687.03,689.58,692.53,695.78,699.22,702.75,706.28,709.75,713.11,718.69,725.51,731.4,736.7,741.71,746.56,751.29,755.88,760.24,764.25,769.6,775.18,780.17,785,789.8,794.6,799.4,804.13,808.58,812.02,818.57,823.4,828.2,833,837.8,842.6,847.4,852.2,857,861.8,866.94,1.17999999999995,1.00999999999999,0.870000000000005,0.700000000000045,0.529999999999973,0.350000000000023,0.190000000000055,0.0399999999999636,-0.0900000000000318,-0.17999999999995,-0.240000000000009,-0.299999999999955,-0.25,-0.149999999999977,-0.0799999999999272,-0.0399999999999636,-0.0200000000000955,-0.0400000000000773,-0.0600000000000591,-0.100000000000023,-0.120000000000005,-0.110000000000014,-0.0400000000000773,-0.00999999999999091,0,0,0,0,-0.0199999999999818,-0.0799999999999272,-0.170000000000073,-0.00999999999999091,0,0,0,0,0,0,0,0,0,0,17.6999999999992,15.1499999999999,13.0500000000001,10.5000000000007,7.94999999999959,5.25000000000034,2.85000000000082,0.599999999999454,-1.35000000000048,-2.69999999999925,-3.60000000000014,-4.49999999999932,-3.75,-2.24999999999966,-1.19999999999891,-0.599999999999454,-0.300000000001432,-0.60000000000116,-0.900000000000887,-1.50000000000034,-1.80000000000007,-1.6500000000002,-0.60000000000116,-0.149999999999864,0,0,0,0,-0.299999999999727,-1.19999999999891,-2.55000000000109,-0.149999999999864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,683.97,685.96,687.86,690.26,693.05,696.14,699.43,702.82,706.24,709.62,712.91,718.42,725.28,731.24,736.62,741.67,746.53,751.25,755.82,760.15,764.13,769.49,775.14,780.16,785,789.8,794.6,799.4,804.11,808.5,811.85,818.56,823.4,828.2,833,837.8,842.6,847.4,852.2,857,861.8,866.94,683.97,685.96,687.86,690.26,693.05,696.14,699.43,702.82,706.24,709.62,712.91,718.42,725.28,731.24,736.62,741.67,746.53,751.25,755.82,760.15,764.13,769.49,775.14,780.16,785,789.8,794.6,799.4,804.11,808.5,811.85,818.56,823.4,828.2,833,837.8,842.6,847.4,852.2,857,861.8,866.94,1.10000000000002,0.960000000000036,0.830000000000041,0.67999999999995,0.519999999999982,0.360000000000014,0.209999999999923,0.07000000000005,-0.0399999999999636,-0.129999999999995,-0.200000000000045,-0.270000000000095,-0.230000000000018,-0.159999999999968,-0.0800000000000409,-0.0400000000000773,-0.0299999999999727,-0.0399999999999636,-0.0599999999999454,-0.0900000000000318,-0.120000000000005,-0.110000000000014,-0.0399999999999636,-0.00999999999999091,0,0,0,0,-0.0199999999999818,-0.0800000000000409,-0.169999999999959,-0.0100000000001046,0,0,0,0,0,0,0,0,0,0,16.5000000000003,14.4000000000005,12.4500000000006,10.1999999999992,7.79999999999973,5.4000000000002,3.14999999999884,1.05000000000075,-0.599999999999454,-1.94999999999993,-3.00000000000068,-4.05000000000143,-3.45000000000027,-2.39999999999952,-1.20000000000061,-0.60000000000116,-0.449999999999591,-0.599999999999454,-0.899999999999181,-1.35000000000048,-1.80000000000007,-1.6500000000002,-0.599999999999454,-0.149999999999864,0,0,0,0,-0.299999999999727,-1.20000000000061,-2.54999999999939,-0.150000000001569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,685,686.87,688.66,690.92,693.57,696.51,699.66,702.92,706.23,709.53,712.75,718.19,725.06,731.09,736.53,741.62,746.49,751.21,755.76,760.06,764.02,769.39,775.09,780.15,785,789.8,794.6,799.39,804.08,808.42,811.69,818.55,823.4,828.2,833,837.8,842.6,847.4,852.2,857,861.8,866.94,685,686.87,688.66,690.92,693.57,696.51,699.66,702.92,706.23,709.53,712.75,718.19,725.06,731.09,736.53,741.62,746.49,751.21,755.76,760.06,764.02,769.39,775.09,780.15,785,789.8,794.6,799.39,804.08,808.42,811.69,818.55,823.4,828.2,833,837.8,842.6,847.4,852.2,857,861.8,866.94,1.02999999999997,0.909999999999968,0.799999999999955,0.659999999999968,0.520000000000095,0.370000000000005,0.230000000000018,0.0999999999999091,-0.00999999999999091,-0.0900000000000318,-0.159999999999968,-0.229999999999905,-0.220000000000027,-0.149999999999977,-0.0900000000000318,-0.0499999999999545,-0.0399999999999636,-0.0399999999999636,-0.0600000000000591,-0.0900000000000318,-0.110000000000014,-0.100000000000023,-0.0499999999999545,-0.00999999999999091,0,0,0,-0.00999999999999091,-0.0299999999999727,-0.0800000000000409,-0.159999999999968,-0.00999999999999091,0,0,0,0,0,0,0,0,0,0,15.4499999999996,13.6499999999995,11.9999999999993,9.89999999999952,7.80000000000143,5.55000000000007,3.45000000000027,1.49999999999864,-0.149999999999864,-1.35000000000048,-2.39999999999952,-3.44999999999857,-3.30000000000041,-2.24999999999966,-1.35000000000048,-0.749999999999318,-0.599999999999454,-0.599999999999454,-0.900000000000887,-1.35000000000048,-1.6500000000002,-1.50000000000034,-0.749999999999318,-0.149999999999864,0,0,0,-0.149999999999864,-0.449999999999591,-1.20000000000061,-2.39999999999952,-0.149999999999864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
