"id","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,0.502400374256552,0.502400329128709,0.502400327833484,0.502400327833484,0.502400327833484,0.502400327833484,0.504811375082089,0.504811375082089,0.504811375082089,0.504811375082089,0.504811375082089,0.504811375082089,0,0,0,0,0,0,0,0,0,0,0,0,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166511599533195,-0.166511599533195,-0.166511599533195,-0.166511599533195,-0.166511599533195,-0.166511599533195,0,0,0,0,0,0,-0.000616721334926296,-0.000613239072070428,-0.000613139126881195,-0.000613139126881195,-0.000613139126881195,-0.000613139126881195,-0.00102435194582461,-0.00102435194582461,-0.00102435194582461,-0.00102435194582461,-0.00102435194582461,-0.00102435194582461,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0.504807148977574,0.50480679547952,0.504806784150618,0.504806784081145,0.504806784081145,0.504806784150618,0.509643143758221,0.509643143758221,0.509643143758221,0.509643143758221,0.509643143758221,0.509643143758221,0,0,0,0,0,0,0,0,0,0,0,0,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166511599533195,-0.166511599533195,-0.166511599533195,-0.166511599533195,-0.166511599533195,-0.166511599533195,0,0,0,0,0,0,-0.000591646823847615,-0.000570878259820473,-0.000570190916902761,-0.000570185556027071,-0.000570185556027071,-0.000570190916902761,-0.000949800450112042,-0.000949800450112042,-0.000949800450112042,-0.000949800450112042,-0.000949800450112042,-0.000949800450112042,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0.507213202536996,0.507212169179315,0.50721212960701,0.507212129078515,0.507212129078515,0.50721212960701,0.514471346745105,0.514471346803149,0.514471346803149,0.514471346803149,0.514471346803149,0.514471346803149,0,0,0,0,0,0,0,0,0,0,0,0,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166511599533195,-0.166511599533195,-0.166511599533195,-0.166511599533195,-0.166511599533195,-0.166511599533195,0,0,0,0,0,0,-0.000557256232619414,-0.000522441807123274,-0.00052084822858993,-0.000520817471323158,-0.000520817471323158,-0.00052084822858993,-0.000875301730756993,-0.000875303970100205,-0.000875303970100205,-0.000875303970100205,-0.000875303970100205,-0.000875303970100205,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0.509618414622993,0.509616404042673,0.509616311940754,0.509616310341377,0.509616310341377,0.509616311875811,0.519295985809907,0.519295986848149,0.519295986848149,0.519295986848149,0.519295986848149,0.519295986848149,0,0,0,0,0,0,0,0,0,0,0,0,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166511599533195,-0.166511599533195,-0.166511599533195,-0.166511599533195,-0.166511599533195,-0.166511599533195,0,0,0,0,0,0,-0.000521422172538522,-0.000475540548904115,-0.000472841484102246,-0.000472784993838835,-0.000472784993838835,-0.000472836472794079,-0.000800826757171936,-0.000800862465189946,-0.000800862465189946,-0.000800862465189946,-0.000800862465189946,-0.000800862465189946,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5,0.512022751776113,0.512019534548201,0.512019362794985,0.512019359296921,0.512019359296921,0.512019362338614,0.524117063059224,0.524117066522559,0.524117066522559,0.524117066522559,0.524117066522559,0.524117066522559,0,0,0,0,0,0,0,0,0,0,0,0,0.164218257787394,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164218257787394,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.164218257787394,-0.166511599533195,-0.166511599533195,-0.166511599533195,-0.166511599533195,-0.166511599533195,0,0,0,0,0,0,-0.00048422744525119,-0.000430001351089656,-0.000426146107964991,-0.000426047628647624,-0.000426047628647624,-0.000426120265423042,-0.000726412754408017,-0.000726475894812077,-0.000726475894812077,-0.000726475894812077,-0.000726475894812077,-0.000726475894812077,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,0.514426184132451,0.514421591604486,0.514421312894141,0.514421306422223,0.514421306422223,0.514421311604104,0.528934581408969,0.528934588453773,0.528934588453773,0.528934588453773,0.528934588453773,0.528934588453773,0,0,0,0,0,0,0,0,0,0,0,0,0.150786721061995,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150786721061995,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0.166511599533195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.150786721061995,-0.166511599533195,-0.166511599533195,-0.166511599533195,-0.166511599533195,-0.166511599533195,0,0,0,0,0,0,-0.000445879431179172,-0.000385695064441707,-0.000380712129870038,-0.000380566320012682,-0.000380566320012682,-0.000380669781398477,-0.000652059670288998,-0.000652144218427349,-0.000652144218427349,-0.000652144218427349,-0.000652144218427349,-0.000652144218427349,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,0.516828688825132,0.516822603319017,0.516822191756898,0.516822181277908,0.516822181277908,0.516822189232469,0.533748543714543,0.533748555267249,0.533748555267249,0.533748555267249,0.533748555267249,0.533748555267249,0,0,0,0,0,0,0,0,0,0,0,0,0.136781744892788,0.166511599533195,0.152968158583742,0.15216153618515,0.15216153618515,0.152680279656168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136781744892788,0.166511599533195,0.152968158583742,0.15216153618515,0.15216153618515,0.152680279656168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136781744892788,-0.166511599533195,-0.152968158583742,-0.15216153618515,-0.15216153618515,-0.152680279656168,0,0,0,0,0,0,-0.000406739943334309,-0.000342514673253578,-0.000336488900636837,-0.000336303392032285,-0.000336303392032285,-0.000336429590094011,-0.000577765214450075,-0.000577867395526425,-0.000577867395526425,-0.000577867395526425,-0.000577867395526425,-0.000577867395526425,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,0.51923024663476,0.519222595240204,0.519222030127197,0.519222014647295,0.519222014647295,0.519222025879039,0.538558952334174,0.538558969586507,0.538558969586507,0.538558969586507,0.538558969586507,0.538558969586507,0,0,0,0,0,0,0,0,0,0,0,0,0.122484952666999,0.16574667049544,0.137006529808263,0.135883999990276,0.135883999990276,0.136593043964457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122484952666999,0.16574667049544,0.137006529808263,0.135883999990276,0.135883999990276,0.136593043964457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122484952666999,-0.16574667049544,-0.137006529808263,-0.135883999990276,-0.135883999990276,-0.136593043964457,0,0,0,0,0,0,-0.000366786998140645,-0.000300353357615434,-0.000293613578459665,-0.000293385068522255,-0.000293385068522255,-0.000293530969275117,-0.000503512355910802,-0.000503645385629864,-0.000503645385629864,-0.000503645385629864,-0.000503645385629864,-0.000503645385629864,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9,0.521630839605327,0.521621590636697,0.521620862662544,0.5216208412253,0.5216208412253,0.521620856171275,0.54336580991622,0.543365834033128,0.543365834033128,0.543365834033128,0.543365834033128,0.543365834033128,0,0,0,0,0,0,0,0,0,0,0,0,0.107196726408718,0.155205565800502,0.122003574148136,0.120593035338577,0.120593035338577,0.121415563129891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107196726408718,0.155205565800502,0.122003574148136,0.120593035338577,0.120593035338577,0.121415563129891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107196726408718,-0.155205565800502,-0.122003574148136,-0.120593035338577,-0.120593035338577,-0.121415563129891,0,0,0,0,0,0,-0.000326136530028794,-0.000259125445270179,-0.000252268063584023,-0.000252002231604248,-0.000252002231604248,-0.000252165080959976,-0.000429326269346327,-0.000429478148288098,-0.000429478148288098,-0.000429478148288098,-0.000429478148288098,-0.000429478148288098,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10,0.524030451196996,0.524019611887001,0.524018722236585,0.524018694111448,0.524018694111448,0.524018713013974,0.548169119653836,0.548169151226763,0.548169151226763,0.548169151226763,0.548169151226763,0.548169151226763,0,0,0,0,0,0,0,0,0,0,0,0,0.092359130868056,0.146120900642485,0.109423429370892,0.107702096715427,0.107702096715427,0.10867657899143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092359130868056,0.146120900642485,0.109423429370892,0.107702096715427,0.107702096715427,0.10867657899143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.092359130868056,-0.146120900642485,-0.109423429370892,-0.107702096715427,-0.107702096715427,-0.10867657899143,0,0,0,0,0,0,-0.000284797104455209,-0.000218834725360207,-0.000212167303094675,-0.000211876658488346,-0.000211876658488346,-0.00021204398757051,-0.000355206890120764,-0.000355365643081411,-0.000355365643081411,-0.000355365643081411,-0.000355365643081411,-0.000355365643081411,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
