"id","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,-5.9376,-5.9982,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5.9376,-5.9982,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.0624000000000002,0.00180000000000025,0,0,0,0,0,0,0,0,0,0,0.336960000000001,0.00972000000000133,0,0,0,0,0,0,0,0,0,0,-0.00166511599533195,-0.00166511599533195,-0.00166511599533195,-0.00166511599533195,-0.00166511599533195,-0.00166511599533195,0,0,0,0,0,0
2,-5.9087,-6.0262,-6.0314,-6.0315,-6.0315,-6.0314,-6,-6,-6,-6,-6,-6,-5.9087,-6.0262,-6.0314,-6.0315,-6.0315,-6.0314,-6,-6,-6,-6,-6,-6,0.0289000000000001,-0.0280000000000005,-0.0313999999999997,-0.0315000000000003,-0.0315000000000003,-0.0313999999999997,0,0,0,0,0,0,0.322571599533196,0.0153115995331924,-0.00304840046680314,-0.00358840046680668,-0.00358840046680668,-0.00304840046680314,0,0,0,0,0,0,-0.00166511599533195,-0.00166511599533195,-0.00166511599533195,-0.00166511599533195,-0.00166511599533195,-0.00166511599533195,0,0,0,0,0,0
3,-5.8817,-6.0526,-6.0628,-6.063,-6.063,-6.0628,-6.0001,-6,-6,-6,-6,-6,-5.8817,-6.0526,-6.0628,-6.063,-6.063,-6.0628,-6.0001,-6,-6,-6,-6,-6,0.0269999999999992,-0.0263999999999998,-0.0314000000000005,-0.0314999999999994,-0.0314999999999994,-0.0314000000000005,-9.99999999997669e-05,0,0,0,0,0,0.312311599533191,0.0239515995331963,-0.00304840046680794,-0.00358840046680188,-0.00358840046680188,-0.00304840046680794,-0.000539999999998741,0,0,0,0,0,-0.00166511599533195,-0.00166511599533195,-0.00166511599533195,-0.00166511599533195,-0.00166511599533195,-0.00166511599533195,0,0,0,0,0,0
4,-5.8565,-6.0776,-6.0941,-6.0945,-6.0945,-6.0942,-6.0002,-6,-6,-6,-6,-6,-5.8565,-6.0776,-6.0941,-6.0945,-6.0945,-6.0942,-6.0002,-6,-6,-6,-6,-6,0.0252000000000008,-0.0250000000000004,-0.0312999999999999,-0.0315000000000003,-0.0315000000000003,-0.0313999999999997,-0.000100000000000655,0,0,0,0,0,0.302591599533199,0.0315115995331931,-0.0025084004668044,-0.00358840046680668,-0.00358840046680668,-0.00304840046680314,-0.000540000000003538,0,0,0,0,0,-0.00166511599533195,-0.00166511599533195,-0.00166511599533195,-0.00166511599533195,-0.00166511599533195,-0.00166511599533195,0,0,0,0,0,0
5,-5.833,-6.1013,-6.1253,-6.126,-6.126,-6.1255,-6.0003,-6,-6,-6,-6,-6,-5.833,-6.1013,-6.1253,-6.126,-6.126,-6.1255,-6.0003,-6,-6,-6,-6,-6,0.0234999999999994,-0.0236999999999998,-0.0312000000000001,-0.0315000000000003,-0.0315000000000003,-0.0312999999999999,-9.99999999997669e-05,0,0,0,0,0,0.293411599533192,0.0385315995331959,-0.00196840046680566,-0.00358840046680668,-0.00358840046680668,-0.0025084004668044,-0.000539999999998741,0,0,0,0,0,-0.00164218257787394,-0.00166511599533195,-0.00166511599533195,-0.00166511599533195,-0.00166511599533195,-0.00166511599533195,0,0,0,0,0,0
6,-5.8093,-6.1237,-6.1565,-6.1575,-6.1575,-6.1568,-6.0004,-6,-6,-6,-6,-6,-5.8093,-6.1237,-6.1565,-6.1575,-6.1575,-6.1568,-6.0004,-6,-6,-6,-6,-6,0.0236999999999998,-0.0224000000000002,-0.0312000000000001,-0.0314999999999994,-0.0314999999999994,-0.0312999999999999,-9.99999999997669e-05,0,0,0,0,0,0.292198257787393,0.0455515995331939,-0.00196840046680566,-0.00358840046680188,-0.00358840046680188,-0.0025084004668044,-0.000539999999998741,0,0,0,0,0,-0.00150786721061995,-0.00166511599533195,-0.00166511599533195,-0.00166511599533195,-0.00166511599533195,-0.00166511599533195,0,0,0,0,0,0
7,-5.7854,-6.1449,-6.1876,-6.189,-6.189,-6.1881,-6.0006,-6,-6,-6,-6,-6,-5.7854,-6.1449,-6.1876,-6.189,-6.189,-6.1881,-6.0006,-6,-6,-6,-6,-6,0.0239000000000003,-0.0211999999999994,-0.0310999999999995,-0.0315000000000003,-0.0315000000000003,-0.0313000000000008,-0.000200000000000422,0,0,0,0,0,0.279846721061996,0.052031599533198,-0.00142840046680212,-0.00358840046680668,-0.00358840046680668,-0.0025084004668092,-0.00108000000000228,0,0,0,0,0,-0.00136781744892788,-0.00166511599533195,-0.00152968158583742,-0.0015216153618515,-0.0015216153618515,-0.00152680279656168,0,0,0,0,0,0
8,-5.7612,-6.1649,-6.2149,-6.2168,-6.2168,-6.2156,-6.0008,-6,-6,-6,-6,-6,-5.7612,-6.1649,-6.2149,-6.2168,-6.2168,-6.2156,-6.0008,-6,-6,-6,-6,-6,0.0242000000000004,-0.0200000000000005,-0.0273000000000003,-0.0278,-0.0278,-0.0274999999999999,-0.000199999999999534,0,0,0,0,0,0.267461744892791,0.0585115995331925,0.00554815858374036,0.00204153618514957,0.00204153618514957,0.00418027965616882,-0.00107999999999748,0,0,0,0,0,-0.00122484952666999,-0.0016574667049544,-0.00137006529808263,-0.00135883999990276,-0.00135883999990276,-0.00136593043964457,0,0,0,0,0,0
9,-5.7349,-6.1837,-6.2403,-6.2427,-6.2427,-6.2413,-6.001,-6,-6,-6,-6,-6,-5.7349,-6.1837,-6.2403,-6.2427,-6.2427,-6.2413,-6.001,-6,-6,-6,-6,-6,0.0263,-0.0187999999999997,-0.0254000000000003,-0.0259,-0.0259,-0.0256999999999996,-0.000200000000000422,0,0,0,0,0,0.264504952666999,0.0642266704954414,-0.000153470191738816,-0.00397600000972456,-0.00397600000972456,-0.00218695603554102,-0.00108000000000228,0,0,0,0,0,-0.00107196726408718,-0.00155205565800502,-0.00122003574148136,-0.00120593035338577,-0.00120593035338577,-0.00121415563129891,0,0,0,0,0,0
10,-5.7083,-6.1994,-6.2619,-6.2649,-6.2649,-6.2632,-6.0012,-6,-6,-6,-6,-6,-5.7083,-6.1994,-6.2619,-6.2649,-6.2649,-6.2632,-6.0012,-6,-6,-6,-6,-6,0.0265999999999993,-0.0156999999999998,-0.0215999999999994,-0.0221999999999998,-0.0221999999999998,-0.0219000000000005,-0.000199999999999534,0,0,0,0,0,0.250836726408714,0.0704255658005025,0.00536357414813911,0.000713035338577982,0.000713035338577982,0.00315556312988859,-0.00107999999999748,0,0,0,0,0,-0.00092359130868056,-0.00146120900642485,-0.00109423429370892,-0.00107702096715427,-0.00107702096715427,-0.0010867657899143,0,0,0,0,0,0
